school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12,that_col
4030,2024-2025,Carver High School of Engineering and Science,Carver High School of Engineering and Science,1949,0,1,1,0,Criteria-Based,District,0,0,0,0,0,0,0,1,1,1,1,1,1,
4060,2024-2025,Murrell Dobbins Career and Technical Education High School,Murrell Dobbins Career and Technical Education High School,1938,0,0,1,0,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
4140,2024-2025,Strawberry Mansion High School,Strawberry Mansion High School,1964,0,0,1,0,Catchment,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
4220,2024-2025,James G. Blaine School,James G. Blaine School,1966,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4240,2024-2025,Lewis C. Cassidy Academics Plus School,Lewis C. Cassidy Academics Plus School,1924,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4270,2024-2025,William Dick School,William Dick School,1954,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4280,2024-2025,Samuel Gompers School,Samuel Gompers School,1968,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4300,2024-2025,Edward Heston School,Edward Heston School,1970,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4320,2024-2025,Robert E. Lamberton School,Robert E. Lamberton School,1949,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4350,2024-2025,E. Washington Rhodes School,E. Washington Rhodes School,2013,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4360,2024-2025,Kenderton Elementary School,Kenderton Elementary School,2016,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4370,2024-2025,Overbrook Elementary School,Overbrook Elementary School,1990,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4380,2024-2025,Thomas M. Peirce School,Thomas M. Peirce School,1908,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
4440,2024-2025,Dr. Ethel Allen School,Dr. Ethel Allen School,1971,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4460,2024-2025,Tanner G. Duckrey School,Tanner G. Duckrey School,1968,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4470,2024-2025,Richard R. Wright School,Richard R. Wright School,1970,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
4480,2024-2025,Overbrook Educational Center,Overbrook Educational Center,1986,1,1,0,0,Citywide,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
4520,2024-2025,Guion S. Bluford School,Guion S. Bluford School,2023,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
