school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
3240,2019-2020,Liguori Academy-Fortis,Liguori Academy-Fortis,2017,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1
3290,2019-2020,Excel Academy South,Excel Academy South,2008,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1
3301,2019-2020,Community Academy of Philadelphia Charter School,Community Academy of Philadelphia Charter School,1997,1,1,1,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3302,2019-2020,Harambee Institute of Science and Technology Charter School,Harambee Institute of Science and Technology Charter School,1997,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3304,2019-2020,YouthBuild Philadelphia Charter School,YouthBuild Philadelphia Charter School,1997,0,0,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,0,0,0,0,0,1
3306,2019-2020,Christopher Columbus Charter School,Christopher Columbus Charter School,1999,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3307,2019-2020,Eugenio Maria De Hostos Charter School,Eugenio Maria De Hostos Charter School,1998,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3308,2019-2020,Inquiry Charter School,Inquiry Charter School,1998,1,0,0,0,Citywide,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0
3309,2019-2020,Imhotep Institute Charter High School,Imhotep Institute Charter High School,1998,0,0,1,0,Citywide,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3310,2019-2020,Laboratory Charter School of Communication and Languages,Laboratory Charter School of Communication and Languages,1998,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3312,2019-2020,Multicultural Academy Charter School,Multicultural Academy Charter School,1998,0,0,1,0,Citywide,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3313,2019-2020,"Preparatory Charter School of Mathematics, Science, Technology and Careers","Preparatory Charter School of Mathematics, Science, Technology and Careers",1998,0,0,1,0,Citywide,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3314,2019-2020,West Oak Lane Charter School,West Oak Lane Charter School,1998,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3315,2019-2020,Alliance For Progress Charter School,Alliance For Progress Charter School,1998,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3317,2019-2020,Architecture and Design Charter School,Architecture and Design Charter School,1999,0,0,1,0,Citywide,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3318,2019-2020,Freire Charter School,Freire Charter School,1999,0,1,1,0,Citywide,Charter,0,0,0,0,0,1,1,1,1,1,1,1,1
3321,2019-2020,"Math, Civics and Sciences Charter School","Math, Civics and Sciences Charter School",1999,1,1,1,0,Citywide,Charter,0,1,1,1,1,1,1,1,1,1,1,1,1
3322,2019-2020,Philadelphia Academy Charter School,Philadelphia Academy Charter School,1999,1,1,1,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3323,2019-2020,Mastery Charter School at Hardy Williams,Mastery Charter School at Hardy Williams,1999,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3326,2019-2020,Universal Institute Charter School,Universal Institute Charter School,1999,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3328,2019-2020,"Mathematics, Science, and Technology Community Charter School (MaST)","Mathematics, Science, and Technology Community Charter School (MaST)",1999,1,1,1,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3329,2019-2020,Young Scholars Charter School,Young Scholars Charter School,1999,0,1,0,0,Citywide,Charter,0,0,0,0,0,0,1,1,1,0,0,0,0
3331,2019-2020,Franklin Towne Charter High School,Franklin Towne Charter High School,2000,0,0,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3332,2019-2020,Mariana Bracetti Academy Charter School,Mariana Bracetti Academy Charter School,2000,1,1,1,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3333,2019-2020,Esperanza Academy Charter School,Esperanza Academy Charter School,2000,1,1,1,0,Citywide,Charter,0,0,0,1,0,0,1,1,1,1,1,1,1
3334,2019-2020,New Foundations Charter School,New Foundations Charter School,2000,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3335,2019-2020,People for People Charter School,People for People Charter School,2001,1,1,1,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3336,2019-2020,Philadelphia Performing Arts: A String Theory Charter School,Philadelphia Performing Arts: A String Theory Charter School,2000,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3337,2019-2020,Global Leadership Academy Charter School,Global Leadership Academy Charter School,2000,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3341,2019-2020,Independence Charter School,Independence Charter School,2001,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3353,2019-2020,KIPP DuBois Charter School,KIPP DuBois Charter School,2015,0,0,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3357,2019-2020,West Philadelphia Achievement Charter School,West Philadelphia Achievement Charter School,2002,1,0,0,0,Citywide,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0
3358,2019-2020,Philadelphia Electrical and Technology Charter School,Philadelphia Electrical and Technology Charter School,2002,0,0,1,0,Citywide,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3359,2019-2020,Richard Allen Preparatory Charter School,Richard Allen Preparatory Charter School,2001,0,1,0,0,Citywide,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0
3360,2019-2020,Russell Byers Charter School,Russell Byers Charter School,2001,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3361,2019-2020,Mastery Charter School at Lenfest,Mastery Charter School at Lenfest,2001,0,1,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,1,1,1,1,1,1
3362,2019-2020,Wissahickon Charter School,Wissahickon Charter School,2002,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3364,2019-2020,First Philadelphia Preparatory Charter School,First Philadelphia Preparatory Charter School,2002,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3365,2019-2020,Green Woods Charter School,Green Woods Charter School,2002,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3366,2019-2020,Maritime Academy Charter School (MACHS),Maritime Academy Charter School (MACHS),2003,1,1,1,0,Citywide,Charter,0,1,1,1,1,1,1,1,1,1,1,1,1
3368,2019-2020,Belmont Charter School,Belmont Charter School,2005,1,1,1,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,1,1,1,0
3370,2019-2020,KIPP Philadelphia Charter School,KIPP Philadelphia Charter School,2003,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3372,2019-2020,Discovery Charter School,Discovery Charter School,2003,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3378,2019-2020,Philadelphia Montessori Charter School,Philadelphia Montessori Charter School,2004,1,0,0,0,Citywide,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0
3379,2019-2020,Ad Prima Charter School,Ad Prima Charter School,2004,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3383,2019-2020,Mastery Charter School at Shoemaker,Mastery Charter School at Shoemaker,2006,0,1,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,1,1,1,1,1,1
3384,2019-2020,Folk Arts-Cultural Treasures Charter School,Folk Arts-Cultural Treasures Charter School,2005,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3385,2019-2020,Mastery Charter School at Thomas Campus,Mastery Charter School at Thomas Campus,2005,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3386,2019-2020,Northwood Academy Charter School,Northwood Academy Charter School,2005,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3388,2019-2020,Boys Latin of Philadelphia Charter School,Boys Latin of Philadelphia Charter School,2007,0,1,1,0,Citywide,Charter,0,0,0,0,0,0,1,1,1,1,1,1,1
3389,2019-2020,Keystone Academy Charter School,Keystone Academy Charter School,2007,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3392,2019-2020,Southwest Leadership Academy Charter School,Southwest Leadership Academy Charter School,2007,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3393,2019-2020,Mastery Charter School at Pickett,Mastery Charter School at Pickett,2007,0,1,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,1,1,1,1,1,1,1
3394,2019-2020,Pan American Academy Charter School,Pan American Academy Charter School,2008,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3395,2019-2020,Antonia Pantoja Charter School,Antonia Pantoja Charter School,2008,1,1,0,0,Citywide,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3396,2019-2020,KIPP West Philadelphia Preparatory Charter School,KIPP West Philadelphia Preparatory Charter School,2009,0,1,0,0,Citywide With Criteria,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0
3399,2019-2020,Sankofa Freedom Academy Charter School,Sankofa Freedom Academy Charter School,2009,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3403,2019-2020,Franklin Towne Charter Elementary School,Franklin Towne Charter Elementary School,2009,1,1,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3404,2019-2020,Tacony Academy Charter School,Tacony Academy Charter School,2009,1,1,1,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,1,1,1,1,1,1
3406,2019-2020,Aspira Charter School at Stetson,Aspira Charter School at Stetson,2010,0,1,0,0,Neighborhood,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0
3407,2019-2020,Mastery Charter School at Harrity,Mastery Charter School at Harrity,2010,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3408,2019-2020,Mastery Charter School at Mann,Mastery Charter School at Mann,2010,1,0,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0
3409,2019-2020,Mastery Charter School at Smedley,Mastery Charter School at Smedley,2010,1,0,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0
3410,2019-2020,Universal Charter School at Bluford,Universal Charter School at Bluford,2010,1,0,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0
3411,2019-2020,Universal Charter School at Daroff,Universal Charter School at Daroff,2010,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3412,2019-2020,Mastery Charter School at Douglass,Mastery Charter School at Douglass,2010,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3414,2019-2020,Aspira Charter School at Olney,Aspira Charter School at Olney,2011,0,0,1,0,Neighborhood,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3415,2019-2020,Mastery Charter School at Clymer,Mastery Charter School at Clymer,2011,1,0,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0
3416,2019-2020,Mastery Charter School at Gratz,Mastery Charter School at Gratz,2011,0,1,1,0,Neighborhood,Charter,0,0,0,0,0,0,0,1,1,1,1,1,1
3417,2019-2020,Universal Charter School at Audenried,Universal Charter School at Audenried,2011,0,0,1,0,Neighborhood,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3418,2019-2020,Universal Charter School at Vare,Universal Charter School at Vare,2011,0,1,0,0,Neighborhood,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0
3419,2019-2020,Lindley Academy Charter at Birney,Lindley Academy Charter at Birney,2011,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3420,2019-2020,Mastery Charter School at Cleveland,Mastery Charter School at Cleveland,2012,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3421,2019-2020,Universal Charter School at Creighton,Universal Charter School at Creighton,2012,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3422,2019-2020,The Philadelphia Charter School for Arts and Sciences,The Philadelphia Charter School for Arts and Sciences,2012,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3423,2019-2020,Memphis Street Academy Charter School at J.P. Jones,Memphis Street Academy Charter School at J.P. Jones,2012,0,1,0,0,Neighborhood,Charter,0,0,0,0,0,1,1,1,1,0,0,0,0
3424,2019-2020,Universal Charter School at Alcorn,Universal Charter School at Alcorn,2013,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3426,2019-2020,Mastery Charter School at Pastorius,Mastery Charter School at Pastorius,2013,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3427,2019-2020,Mastery Charter School at Wister,Mastery Charter School at Wister,2016,1,0,0,0,Neighborhood,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0
3428,2019-2020,Global Leadership Academy at Huey,Global Leadership Academy at Huey,2016,1,1,0,0,Neighborhood,Charter,1,1,1,1,1,1,1,1,1,0,0,0,0
3437,2019-2020,KIPP North Philadelphia Charter School,KIPP North Philadelphia Charter School,2018,1,0,0,0,Citywide,Charter,1,1,1,0,0,0,0,0,0,0,0,0,0
3438,2019-2020,Deep Roots Charter School,Deep Roots Charter School,2018,1,0,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0
3439,2019-2020,Mastery Prep Elementary Charter School,Mastery Prep Elementary Charter School,2018,1,0,0,0,Citywide,Charter,1,1,1,1,0,0,0,0,0,0,0,0,0
3440,2019-2020,MaST Community Charter School II,MaST Community Charter School II,2016,1,0,1,0,Citywide,Charter,1,1,1,1,1,1,1,0,0,1,0,0,0
3441,2019-2020,TECH Freire Charter School,TECH Freire Charter School,2016,0,0,1,0,Citywide With Criteria,Charter,0,0,0,0,0,0,0,0,0,1,1,1,1
3442,2019-2020,Independence Charter School West,Independence Charter School West,2016,1,0,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,1,0,0,0,0,0,0
3443,2019-2020,KIPP West Philadelphia Charter School,KIPP West Philadelphia Charter School,2016,1,0,0,0,Citywide,Charter,1,1,1,1,0,0,0,0,0,0,0,0,0
3445,2019-2020,MAST III Charter School,MAST III Charter School,2019,1,0,0,0,Citywide With Criteria,Charter,1,1,1,1,1,1,0,0,0,0,0,0,0
3446,2019-2020,Philadelphia Hebrew Charter,Philadelphia Hebrew Charter,2019,1,0,0,0,Citywide,Charter,1,1,0,0,0,0,0,0,0,0,0,0,0
3510,2019-2020,El Centro de Estudiantes (Big Picture),El Centro de Estudiantes (Big Picture),2009,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1
3540,2019-2020,Ombudsman Northwest,Ombudsman Northwest,2009,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1
3810,2019-2020,One Bright Ray - Elmwood Campus,One Bright Ray - Elmwood Campus,2015,0,0,1,0,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1
