school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,this_col,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
3443,2022-2023,KIPP West Philadelphia Charter School,KIPP West Philadelphia Charter School,2016,1,0,0,0,Citywide,Charter,1,,1,1,1,1,0,0,0,0,0,0,0,0
3445,2022-2023,MAST III Charter School,MAST III Charter School,2019,1,0,0,0,Citywide With Criteria,Charter,1,,1,1,1,1,1,0,0,0,0,0,0,0
3446,2022-2023,Philadelphia Hebrew Public Charter School,Philadelphia Hebrew Public Charter School,2019,1,0,0,0,Citywide,Charter,1,,1,0,0,0,0,0,0,0,0,0,0,0
3510,2022-2023,El Centro de Estudiantes (Big Picture),El Centro de Estudiantes (Big Picture),2009,0,0,0,1,Alternative,Contracted,0,,0,0,0,0,0,0,0,0,1,1,1,1
3540,2022-2023,Ombudsman Northwest,Ombudsman Northwest,2009,0,0,0,1,Alternative,Contracted,0,,0,0,0,0,0,0,0,0,1,1,1,1
3810,2022-2023,One Bright Ray - Elmwood Campus,One Bright Ray - Elmwood Campus,2015,0,0,0,1,Alternative,Contracted,0,,0,0,0,0,0,0,0,0,1,1,1,1
3820,2022-2023,Achieve Academy East,Achieve Academy East,2016,0,0,0,1,Alternative,Contracted,0,,0,0,0,0,0,1,1,1,1,1,1,1
3850,2022-2023,Northeast High School EOP,Northeast High School EOP,2016,0,0,0,1,Alternative,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
3880,2022-2023,South Philadelphia High School EOP,South Philadelphia High School EOP,2008,0,0,0,1,Alternative,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
4020,2022-2023,Overbrook High School,Overbrook High School,1926,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
4030,2022-2023,High School of Engineering and Science,High School of Engineering and Science,1949,0,1,1,0,Special Admit,District,0,,0,0,0,0,0,0,1,1,1,1,1,1
4060,2022-2023,Murrell Dobbins Career and Technical High School,Murrell Dobbins Career and Technical High School,1938,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
4140,2022-2023,Strawberry Mansion High School,Strawberry Mansion High School,1964,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
4220,2022-2023,James G. Blaine School,James G. Blaine School,1966,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4240,2022-2023,Lewis C. Cassidy Academics Plus School,Lewis C. Cassidy Academics Plus School,1924,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4270,2022-2023,William Dick School,William Dick School,1954,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4280,2022-2023,Samuel Gompers School,Samuel Gompers School,1968,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4300,2022-2023,Edward Heston School,Edward Heston School,1970,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4320,2022-2023,Robert E. Lamberton School,Robert E. Lamberton School,1949,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4350,2022-2023,E. Washington Rhodes School,E. Washington Rhodes School,2013,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4360,2022-2023,Kenderton Elementary School,Kenderton Elementary School,2016,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4370,2022-2023,Overbrook Elementary School,Overbrook Elementary School,1990,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4380,2022-2023,Thomas M. Peirce School,Thomas M. Peirce School,1908,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,1,0,0,0,0,0,0
4440,2022-2023,Dr. Ethel Allen School,Dr. Ethel Allen School,1971,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4460,2022-2023,Tanner G. Duckrey School,Tanner G. Duckrey School,1968,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4470,2022-2023,Richard R. Wright School,Richard R. Wright School,1970,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
4480,2022-2023,Overbrook Educational Center,Overbrook Educational Center,1986,1,1,0,0,Citywide,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4530,2022-2023,Edward Gideon School,Edward Gideon School,1952,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4560,2022-2023,William D. Kelley School,William D. Kelley School,1965,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
4570,2022-2023,General George G. Meade School,General George G. Meade School,1937,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
5020,2022-2023,Thomas A. Edison High School,Thomas A. Edison High School,1985,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5050,2022-2023,Philadelphia Military Academy,Philadelphia Military Academy,2005,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5060,2022-2023,Jules E. Mastbaum Area Vocational Technical High School,Jules E. Mastbaum Area Vocational Technical High School,1929,0,0,1,0,Citywide,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5070,2022-2023,Parkway Northwest High School,Parkway Northwest High School,1960,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
5080,2022-2023,Parkway Center City Middle College High School,Parkway Center City Middle College High School,2005,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
